Profit:  -252 Capital:  747 Total trade:  1 Win trade:  0 Win rate:  0.0%
Profit:  2073 Capital:  2820 Total trade:  2 Win trade:  1 Win rate:  50.0%
Profit:  -712 Capital:  2108 Total trade:  3 Win trade:  1 Win rate:  33.3%
Profit:  -532 Capital:  1575 Total trade:  4 Win trade:  1 Win rate:  25.0%
Profit:  2458 Capital:  4034 Total trade:  5 Win trade:  2 Win rate:  40.0%
Profit:  -1018 Capital:  3015 Total trade:  6 Win trade:  2 Win rate:  33.3%
Profit:  -761 Capital:  2254 Total trade:  7 Win trade:  2 Win rate:  28.5%
Profit:  3793 Capital:  6047 Total trade:  8 Win trade:  3 Win rate:  37.5%
Profit:  -1518 Capital:  4529 Total trade:  9 Win trade:  3 Win rate:  33.3%
Profit:  -1143 Capital:  3385 Total trade:  10 Win trade:  3 Win rate:  30.0%
Profit:  -854 Capital:  2530 Total trade:  11 Win trade:  3 Win rate:  27.2%
Profit:  5589 Capital:  8120 Total trade:  12 Win trade:  4 Win rate:  33.3%
Profit:  19182 Capital:  27302 Total trade:  13 Win trade:  5 Win rate:  38.4%
Profit:  -6313 Capital:  20989 Total trade:  14 Win trade:  5 Win rate:  35.7%
Profit:  -5300 Capital:  15688 Total trade:  15 Win trade:  5 Win rate:  33.3%
Profit:  -3961 Capital:  11727 Total trade:  16 Win trade:  5 Win rate:  31.2%
Profit:  -2961 Capital:  8765 Total trade:  17 Win trade:  5 Win rate:  29.4%
Profit:  -2213 Capital:  6552 Total trade:  18 Win trade:  5 Win rate:  27.7%
Profit:  -1654 Capital:  4897 Total trade:  19 Win trade:  5 Win rate:  26.3%
Profit:  7282 Capital:  12179 Total trade:  20 Win trade:  6 Win rate:  30.0%
Profit:  -3075 Capital:  9104 Total trade:  21 Win trade:  6 Win rate:  28.5%
Profit:  -2299 Capital:  6805 Total trade:  22 Win trade:  6 Win rate:  27.2%
Profit:  -1718 Capital:  5086 Total trade:  23 Win trade:  6 Win rate:  26.0%
Profit:  12556 Capital:  17643 Total trade:  24 Win trade:  7 Win rate:  29.1%
Profit:  -4455 Capital:  13187 Total trade:  25 Win trade:  7 Win rate:  28.0%
Profit:  -3330 Capital:  9857 Total trade:  26 Win trade:  7 Win rate:  26.9%
Profit:  -2489 Capital:  7368 Total trade:  27 Win trade:  7 Win rate:  25.9%
Profit:  12678 Capital:  20046 Total trade:  28 Win trade:  8 Win rate:  28.5%
Profit:  -5062 Capital:  14984 Total trade:  29 Win trade:  8 Win rate:  27.5%
Profit:  -3783 Capital:  11200 Total trade:  30 Win trade:  8 Win rate:  26.6%
Profit:  22396 Capital:  33596 Total trade:  31 Win trade:  9 Win rate:  29.0%
Profit:  -6313 Capital:  27283 Total trade:  32 Win trade:  9 Win rate:  28.1%
Profit:  39087 Capital:  66370 Total trade:  33 Win trade:  10 Win rate:  30.3%
Profit:  -6313 Capital:  60057 Total trade:  34 Win trade:  10 Win rate:  29.4%
Profit:  -6313 Capital:  53744 Total trade:  35 Win trade:  10 Win rate:  28.5%
Profit:  36729 Capital:  90473 Total trade:  36 Win trade:  11 Win rate:  30.5%
Profit:  -6313 Capital:  84160 Total trade:  37 Win trade:  11 Win rate:  29.7%
Profit:  -6313 Capital:  77847 Total trade:  38 Win trade:  11 Win rate:  28.9%
Profit:  -6313 Capital:  71534 Total trade:  39 Win trade:  11 Win rate:  28.2%
Profit:  -6313 Capital:  65220 Total trade:  40 Win trade:  11 Win rate:  27.5%
Profit:  40398 Capital:  105619 Total trade:  41 Win trade:  12 Win rate:  29.2%
Profit:  -6313 Capital:  99306 Total trade:  42 Win trade:  12 Win rate:  28.5%
Profit:  -6313 Capital:  92993 Total trade:  43 Win trade:  12 Win rate:  27.9%
Profit:  36602 Capital:  129596 Total trade:  44 Win trade:  13 Win rate:  29.5%
Profit:  39600 Capital:  169197 Total trade:  45 Win trade:  14 Win rate:  31.1%
Profit:  -6313 Capital:  162884 Total trade:  46 Win trade:  14 Win rate:  30.4%
Profit:  -6313 Capital:  156571 Total trade:  47 Win trade:  14 Win rate:  29.7%
Profit:  -6313 Capital:  150258 Total trade:  48 Win trade:  14 Win rate:  29.1%
Profit:  39044 Capital:  189302 Total trade:  49 Win trade:  15 Win rate:  30.6%
Profit:  -6313 Capital:  182989 Total trade:  50 Win trade:  15 Win rate:  30.0%
Profit:  -6313 Capital:  176676 Total trade:  51 Win trade:  15 Win rate:  29.4%
Profit:  -6313 Capital:  170362 Total trade:  52 Win trade:  15 Win rate:  28.8%
Profit:  -6313 Capital:  164049 Total trade:  53 Win trade:  15 Win rate:  28.3%
Profit:  43876 Capital:  207926 Total trade:  54 Win trade:  16 Win rate:  29.6%
Profit:  -6313 Capital:  201612 Total trade:  55 Win trade:  16 Win rate:  29.0%
Profit:  -6313 Capital:  195299 Total trade:  56 Win trade:  16 Win rate:  28.5%
Profit:  41227 Capital:  236527 Total trade:  57 Win trade:  17 Win rate:  29.8%
Profit:  -6313 Capital:  230214 Total trade:  58 Win trade:  17 Win rate:  29.3%
Profit:  -6313 Capital:  223901 Total trade:  59 Win trade:  17 Win rate:  28.8%
Profit:  -6313 Capital:  217588 Total trade:  60 Win trade:  17 Win rate:  28.3%
Profit:  -6313 Capital:  211275 Total trade:  61 Win trade:  17 Win rate:  27.8%
Profit:  -6207 Capital:  205067 Total trade:  62 Win trade:  17 Win rate:  27.4%
Profit:  -6313 Capital:  198754 Total trade:  63 Win trade:  17 Win rate:  26.9%
Profit:  -6313 Capital:  192441 Total trade:  64 Win trade:  17 Win rate:  26.5%
Profit:  -6313 Capital:  186128 Total trade:  65 Win trade:  17 Win rate:  26.1%
Profit:  -6313 Capital:  179815 Total trade:  66 Win trade:  17 Win rate:  25.7%
Profit:  -6313 Capital:  173501 Total trade:  67 Win trade:  17 Win rate:  25.3%
Profit:  -6313 Capital:  167188 Total trade:  68 Win trade:  17 Win rate:  25.0%
Profit:  -6313 Capital:  160875 Total trade:  69 Win trade:  17 Win rate:  24.6%
Profit:  -6313 Capital:  154562 Total trade:  70 Win trade:  17 Win rate:  24.2%
Profit:  -6313 Capital:  148249 Total trade:  71 Win trade:  17 Win rate:  23.9%
Profit:  -6313 Capital:  141936 Total trade:  72 Win trade:  17 Win rate:  23.6%
Profit:  37742 Capital:  179678 Total trade:  73 Win trade:  18 Win rate:  24.6%
Profit:  -6313 Capital:  173365 Total trade:  74 Win trade:  18 Win rate:  24.3%
Profit:  38724 Capital:  212089 Total trade:  75 Win trade:  19 Win rate:  25.3%
Profit:  -6313 Capital:  205776 Total trade:  76 Win trade:  19 Win rate:  25.0%
Profit:  -6313 Capital:  199463 Total trade:  77 Win trade:  19 Win rate:  24.6%
Profit:  -6313 Capital:  193150 Total trade:  78 Win trade:  19 Win rate:  24.3%
Profit:  -6289 Capital:  186860 Total trade:  79 Win trade:  19 Win rate:  24.0%
Profit:  -6150 Capital:  180709 Total trade:  80 Win trade:  19 Win rate:  23.7%
Profit:  36436 Capital:  217145 Total trade:  81 Win trade:  20 Win rate:  24.6%
Profit:  -6313 Capital:  210832 Total trade:  82 Win trade:  20 Win rate:  24.3%
Profit:  39624 Capital:  250457 Total trade:  83 Win trade:  21 Win rate:  25.3%
Profit:  -6313 Capital:  244144 Total trade:  84 Win trade:  21 Win rate:  25.0%
Profit:  -6313 Capital:  237831 Total trade:  85 Win trade:  21 Win rate:  24.7%
